GDE_ID	Name	Status
21	Adlikon	Revision ausstehend
131	Adliswil	vorgeprüft
241	Aesch	vorgeprüft
1	Aeugst a.A.	Anpassung erfolgt
2	Affoltern a.A.	Anpassung erfolgt
211	Altikon	Anpassung erfolgt
30	Andelfingen	Anpassung erfolgt
51	Bachenbülach	Anpassung erfolgt
81	Bachs	vorgeprüft
111	Bäretswil	Anpassung erfolgt
52	Bassersdorf	vorgeprüft
297	Bauma	Anpassung erfolgt
22	Benken	Revision ausstehend
23	Berg am Irchel	Anpassung erfolgt
242	Birmensdorf	Revision ausstehend
3	Bonstetten	Anpassung erfolgt
82	Boppelsen	vorgeprüft
213	Brütten	Anpassung erfolgt
112	Bubikon	Anpassung erfolgt
24	Buch am Irchel	Anpassung erfolgt
83	Buchs	Revision ausstehend
53	Bülach	Anpassung erfolgt
25	Dachsen	Anpassung erfolgt
214	Dägerlen	vorgeprüft
84	Dällikon	Anpassung erfolgt
85	Dänikon	vorgeprüft
215	Dättlikon	Revision ausstehend
86	Dielsdorf	Anpassung erfolgt
243	Dietikon	vorgeprüft
54	Dietlikon	Anpassung erfolgt
216	Dinhard	Anpassung erfolgt
26	Dorf	Anpassung erfolgt
191	Dübendorf	vorgeprüft
113	Dürnten	Anpassung erfolgt
192	Egg	vorgeprüft
55	Eglisau	vorgeprüft
294	Elgg	vorgeprüft
218	Ellikon a.d.Th.	Anpassung erfolgt
219	Elsau	vorgeprüft
56	Embrach	vorgeprüft
151	Erlenbach	vorgeprüft
193	Fällanden	vorgeprüft
172	Fehraltorf	Anpassung erfolgt
27	Feuerthalen	Anpassung erfolgt
114	Fischenthal	Anpassung erfolgt
28	Flaach	Anpassung erfolgt
29	Flurlingen	vorgeprüft
57	Freienstein-Teufen	Anpassung erfolgt
244	Geroldswil	vorgeprüft
58	Glattfelden	Anpassung erfolgt
115	Gossau	Anpassung erfolgt
194	Greifensee	vorgeprüft
116	Grüningen	vorgeprüft
220	Hagenbuch	Revision ausstehend
4	Hausen a.A.	vorgeprüft
5	Hedingen	vorgeprüft
