SGEM_CODE	Name	Status
K010	Primarschulgemeinde Adlikon	nicht anwendbar
B010	Primarschulgemeinde Aesch	nicht anwendbar
C010	Primarschulgemeinde Aeugst	nicht anwendbar
C031	Sekundarschulgemeinde Affoltern am Albis-Aeugst	vorgeprüft
K031	Sekundarschulgemeinde Andelfingen (Andelfingen, Kleinandelfingen, Adlikon, Henggart, Humlikon, Thalheim)	Revision ausstehend
K020	Primarschulgemeinde Andelfingen	nicht anwendbar
L010	Primarschulgemeinde Bachenbülach	nicht anwendbar
M010	Primarschulgemeinde Bachs	nicht anwendbar
K040	Primarschulgemeinde Benken	nicht anwendbar
B020	Primarschulgemeinde Birmensdorf	nicht anwendbar
B031	Sekundarschulgemeinde Birmensdorf-Aesch	Revision ausstehend
C061	Sekundarschulgemeinde Bonstetten (Bonstetten, Stallikon, Wettswil a.A.)	Anpassung erfolgt
M020	Primarschulgemeinde Boppelsen	nicht anwendbar
L041	Sekundarschulgemeinde Bülach (Bülach, Bachenbülach, Hochfelden, Höri, Winkel)	Revision ausstehend
K070	Primarschulgemeinde Dachsen	nicht anwendbar
I110	Primarschulgemeinde Dägerlen	nicht anwendbar
M050	Primarschulgemeinde Dänikon-Hüttikon	nicht anwendbar
M071	Sekundarschulgemeinde Dielsdorf (Dielsdorf, Regensberg, Steinmaur)	Anpassung erfolgt
M060	Primarschulgemeinde Dielsdorf	nicht anwendbar
L052	Vereinigte Schulgemeinde Dietlikon	nicht anwendbar
G021	Sekundarschulgemeinde Dübendorf-Schwerzenbach	vorgeprüft
L062	Vereinitge Schulgemeinde Eglisau	nicht anwendbar
I151	Sekundarschulgemeinde Elgg	vorgeprüft
I143	Primarschulgemeinde Elgg	nicht anwendbar
I160	Primarschulgemeinde Ellikon an der Thur	nicht anwendbar
I343	Vereinitge Schulgemeinde Elsau-Schlatt	nicht anwendbar
L081	Sekundarschulgemeinde Embrach (Embrach, Oberembrach, Lufigen)	Anpassung erfolgt
G042	Vereinitge Schulgemeinde Fällanden	nicht anwendbar
K302	Vereinitge Schulgemeinde  Flaachtal	nicht anwendbar
K120	Primarschulgemeinde Flurlingen	nicht anwendbar
F092	Vereinitge Schulgemeinde Grüningen	nicht anwendbar
C081	Sekundarschulgemeinde Hausen am Albis (Hausen, Kappel, Rifferswil)	vorgeprüft
F102	Vereinitge Schulgemeinde Hinwil 	nicht anwendbar
H032	Vereinitge Schulgemeinde Hittnau	nicht anwendbar
L100	Primarschulgemeinde Hochfelden	nicht anwendbar
L110	Primarschulgemeinde Höri	nicht anwendbar
K140	Primarschulgemeinde Humlikon	nicht anwendbar
C141	Sekundarschulgemeinde Knonau Maschwanden Mettmenstetten	Anpassung erfolgt
K160	Primarschulgemeinde Laufen-Uhwiesen	nicht anwendbar
K180	Primarschulgemeinde Marthalen	nicht anwendbar
K191	Sekundarschulgemeinde Marthalen (Benken, Marthalen, Rheinau, Trüllikon)	Anpassung erfolgt
C120	Primarschulgemeinde Maschwanden	nicht anwendbar
G081	Sekundarschulgemeinde Nänikon-Greifensee	Revision ausstehend
M080	Primarschulgemeinde Neerach	nicht anwendbar
M090	Primarschulgemeinde Niederglatt	nicht anwendbar
M11	Sekundarschulgemeinde Niederhasli-Niederglatt-Hofstetten	vorgeprüft
L160	Primarschulgemeinde Oberembrach	nicht anwendbar
C161	Sekundarschulgemeinde Obfelden-Ottenbach	Anpassung erfolgt
B060	Primarschulgemeinde Oetwil a.L. -Geroldswil	nicht anwendbar
C170	Primarschulgemeinde Ottenbach	nicht anwendbar
K210	Primarschulgemeinde Ossingen	nicht anwendbar
K221	Sekundarschulgemeinde Ossingen-Truttikon	Anpassung erfolgt
M170	Primarschulgemeinde Regensberg	nicht anwendbar
M191	Sekundarschulgemeinde Regensdorf-Buchs-Dällikon	vorgeprüft
I251	Sekundarschulgemeinde Rickenbach (Altikon, Ellikon, Rickenbach und Teile Dinhard)	Anpassung erfolgt
L192	Vereinitge Schulgemeinde Rorbas- Freienstein-Teufen	nicht anwendbar
